,발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
20,2015,2015-01-03 12:50,주,토,1,1,0,0,0,전남,무안군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,901509.0,1653715.0,126.4223459,34.8733697
21,2015,2015-01-03 15:21,주,토,1,1,0,0,0,경기,성남시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승합차,대형,없음,없음,969891.0,1937684.0,127.1596447,37.43783524
22,2015,2015-01-03 16:50,주,토,1,2,0,1,0,경기,성남시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,968953.0,1929945.0,127.1493668,37.36804763
23,2015,2015-01-03 17:25,주,토,1,2,0,1,0,전남,장흥군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,승용차,중형,949356.0,1616350.0,126.9480816,34.53994564
24,2015,2015-01-03 18:20,야,토,1,1,0,0,0,충남,공주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,978471.0,1819501.0,127.2599934,36.37271496
25,2015,2015-01-03 18:55,야,토,1,1,0,0,0,전북,정읍시,차대사람,보도통행중,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,보행자,보행자,937878.0,1739747.0,126.8137411,35.65194485
26,2015,2015-01-04 00:03,야,일,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,951585.0,1942458.0,126.9524051,37.48008785
27,2015,2015-01-04 00:05,야,일,1,1,0,0,0,전남,신안군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,872776.0,1678344.0,126.1042694,35.09220263
28,2015,2015-01-04 03:32,야,일,1,1,0,0,0,인천,계양구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,931279.0,1949630.0,126.7220812,37.54344019
29,2015,2015-01-04 05:15,야,일,1,1,0,0,0,경북,칠곡군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,없음,없음,1081842.8,1784218.4,128.4086552,36.05141789
30,2015,2015-01-04 06:20,주,일,1,1,0,0,0,충남,천안시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,966841.0,1864692.0,127.1283964,36.77977579
31,2015,2015-01-04 07:10,주,일,1,1,0,0,0,경기,광주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,건설기계,건설기계,981031.0,1932301.0,127.2857097,37.38960983
32,2015,2015-01-04 12:58,주,일,1,2,1,0,0,세종,세종,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,승용차,중형,981784.0,1843164.0,127.2963693,36.58610925
33,2015,2015-01-04 13:40,주,일,1,1,0,0,0,충북,충주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,자전거,자전거,1036910.7,1885755.8,127.914672,36.96951422
34,2015,2015-01-04 13:20,주,일,1,1,0,0,0,전남,영암군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,924567.0,1646039.0,126.6753024,34.80613152
35,2015,2015-01-04 15:17,주,일,1,1,0,0,0,경기,성남시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승합차,소형,보행자,보행자,970419.0,1937818.0,127.1656078,37.4390601
36,2015,2015-01-04 18:55,야,일,1,3,2,0,0,충남,서산시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,승용차,소형,912883.0,1852734.0,126.5251226,36.66856645
37,2015,2015-01-04 18:00,야,일,1,1,0,0,0,인천,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,927182.9,1947591.9,126.6759199,37.5247569
38,2015,2015-01-04 20:52,야,일,1,1,0,0,0,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,931313.0,1948424.0,126.7225789,37.53257332
39,2015,2015-01-04 21:13,야,일,1,1,0,0,0,전남,목포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,보행자,보행자,899399.0,1647185.0,126.4000464,34.81428838
40,2015,2015-01-04 21:30,야,일,1,1,0,0,0,경북,예천군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,없음,없음,1085781.0,1853349.0,128.4599977,36.67423129
41,2015,2015-01-04 22:14,야,일,1,1,0,0,0,경기,성남시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,965523.0,1930936.0,127.1105843,37.37685899
42,2015,2015-01-04 23:50,야,일,1,1,0,0,0,경기,평택시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,961209.0,1897824.0,127.0635825,37.07822291
43,2015,2015-01-05 03:39,야,월,1,1,0,0,0,서울,구로구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,941717.0,1943013.0,126.8407559,37.48452015
44,2015,2015-01-05 04:40,야,월,1,1,0,0,0,경북,칠곡군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1095252.0,1776866.0,128.5566237,35.98391987
45,2015,2015-01-05 06:05,주,월,1,1,0,0,0,경기,수원시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,화물차,소형,958157.0,1919953.0,127.0280077,37.27755915
46,2015,2015-01-05 06:30,주,월,1,1,0,0,0,전북,전주시,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,소형,보행자,보행자,967409.0,1759592.0,127.1391538,35.83228744
47,2015,2015-01-05 07:30,주,월,1,4,2,1,0,경남,창원시(통합),차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1078504.0,1682339.0,128.3616898,35.13319716
48,2015,2015-01-05 09:52,주,월,1,2,1,0,0,강원,삼척시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,건설기계,건설기계,1128015.0,1928693.0,128.9453392,37.34845141
49,2015,2015-01-05 09:40,주,월,1,2,1,0,0,강원,정선군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1123698.1,1912654.6,128.8939451,37.20450953
50,2015,2015-01-05 09:25,주,월,1,2,1,0,0,충남,보령시,차대차,정면충돌,정면충돌,운전자법규위반,과속,교차로,교차로내,건설기계,건설기계,승용차,중형,909032.0,1835118.0,126.4841176,36.50942181
51,2015,2015-01-05 17:55,주,월,1,1,0,0,0,울산,울주군,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,보행자,보행자,1155411.0,1739419.0,129.2164653,35.63871055
52,2015,2015-01-05 18:20,야,월,1,1,0,0,0,대구,달성군,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,건설기계,건설기계,보행자,보행자,1089733.0,1757025.0,128.4931736,35.80558193
53,2015,2015-01-05 19:10,야,월,1,1,0,0,0,경기,고양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승합차,대형,보행자,보행자,941742.0,1958123.0,126.8398384,37.62070796
54,2015,2015-01-05 20:20,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,보행자,보행자,942107.0,1944339.0,126.8450626,37.49649604
55,2015,2015-01-05 21:38,야,월,1,6,1,4,0,인천,계양구,차대차,측면충돌,측면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,승용차,중형,승합차,대형,933109.0,1951904.0,126.7425876,37.56406994
56,2015,2015-01-05 23:19,야,월,1,1,0,0,0,경기,시흥시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,승용차,중형,932503.0,1929695.0,126.7377613,37.36385778
57,2015,2015-01-05 23:05,야,월,1,1,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,905142.0,1864207.0,126.4370864,36.77123554
58,2015,2015-01-06 02:30,야,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,906416.0,1499335.0,126.4927104,33.48175278
59,2015,2015-01-06 05:40,야,화,1,1,0,0,0,서울,용산구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,953874.0,1950002.0,126.9778201,37.54820111
60,2015,2015-01-06 07:00,주,화,1,2,1,0,0,경기,파주시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,화물차,소형,935246.0,1985074.0,126.7638312,37.86317052
61,2015,2015-01-06 07:05,주,화,1,1,0,0,0,경기,안산시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,자전거,자전거,938787.0,1926852.0,126.808956,37.33866917
62,2015,2015-01-06 07:00,주,화,1,2,1,0,0,경북,김천시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,승용차,중형,1060251.0,1790581.0,128.1694368,36.11035525
63,2015,2015-01-06 08:50,주,화,1,1,0,0,0,충남,보령시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,원동기장치자전거,원동기장치자전거,919609.0,1812561.0,126.6045586,36.30703541
64,2015,2015-01-06 12:32,주,화,1,5,3,1,0,서울,성북구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승합차,대형,화물차,소형,955425.0,1956850.0,126.9949612,37.60999981
65,2015,2015-01-06 12:10,주,화,1,1,0,0,0,강원,동해시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,없음,없음,1142696.0,1952128.0,129.1155728,37.55746351
66,2015,2015-01-06 13:20,주,화,1,1,0,0,0,경기,광주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,978110.0,1934663.0,127.2526418,37.41083588
67,2015,2015-01-06 14:10,주,화,1,1,0,0,0,경기,하남시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,중형,없음,없음,975229.0,1943173.0,127.2198007,37.48746933
68,2015,2015-01-06 15:00,주,화,1,1,0,0,0,충북,음성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,자전거,자전거,1003458.0,1893064.0,127.5388828,37.03611118
69,2015,2015-01-06 15:50,주,화,1,1,0,0,0,전남,순천시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,경형,승용차,중형,993131.0,1649660.0,127.4248692,34.84155591
70,2015,2015-01-06 16:50,주,화,1,1,0,0,0,전남,담양군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,없음,없음,955977.0,1695438.0,127.0160702,35.25340867
71,2015,2015-01-06 19:19,야,화,1,1,0,0,0,경기,안산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,934459.0,1922899.0,126.7604493,37.30274457
72,2015,2015-01-06 21:08,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,947727.0,1944613.0,126.9086183,37.49930101
73,2015,2015-01-06 23:00,야,화,1,3,0,1,1,경기,수원시,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,화물차,소형,959738.0,1921961.0,127.0457322,37.29572844
74,2015,2015-01-06 23:45,야,화,2,3,1,0,0,대전,서구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,승용차,중형,991183.0,1816098.0,127.4017458,36.34223623
75,2015,2015-01-07 06:50,주,수,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,화물차,소형,보행자,보행자,966388.0,1869214.0,127.1231202,36.82052357
76,2015,2015-01-07 06:25,주,수,1,1,0,0,0,전남,광양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,1009688.0,1663361.0,127.6061229,34.96508269
77,2015,2015-01-07 06:30,주,수,1,1,0,0,0,대구,달성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1081258.0,1751868.0,128.3988588,35.75982905
78,2015,2015-01-07 07:07,주,수,1,1,0,0,0,대전,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승용차,중형,보행자,보행자,993709.0,1816497.0,127.4298916,36.3458532
79,2015,2015-01-07 08:30,주,수,1,1,0,0,0,전남,목포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,896980.0,1646515.0,126.3736842,34.80800573
80,2015,2015-01-07 09:20,주,수,1,1,0,0,0,전북,익산시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,948428.8,1768984.1,126.9284055,35.91614901
81,2015,2015-01-07 11:25,주,수,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,없음,없음,1048464.0,1912401.0,128.0461833,37.20916675
82,2015,2015-01-07 12:50,주,수,2,3,0,1,0,충북,음성군,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,화물차,대형,999920.0,1882416.0,127.4991016,36.94013171
83,2015,2015-01-07 14:05,주,수,1,1,0,0,0,전북,전주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,967896.0,1758730.0,127.1445804,35.82453169
84,2015,2015-01-07 16:50,주,수,1,8,7,0,0,경기,고양시,차대차,측면충돌,측면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,화물차,대형,승용차,중형,943330.0,1958735.0,126.8577847,37.62632316
85,2015,2015-01-07 21:40,야,수,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승합차,대형,보행자,보행자,954246.0,1943066.0,126.9824632,37.4857036
86,2015,2015-01-07 23:50,야,수,1,5,1,3,0,경기,양주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,승합차,소형,954897.0,1976871.0,126.9877389,37.79042332
87,2015,2015-01-07 23:30,야,수,1,1,0,0,0,충북,충주시,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1044193.0,1871926.0,127.995675,36.84453528
88,2015,2015-01-08 00:00,야,목,1,1,0,0,0,충남,태안군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,없음,없음,893342.0,1861357.0,126.3052868,36.74429429
89,2015,2015-01-08 06:14,주,목,1,1,0,0,0,경기,성남시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승합차,중형,보행자,보행자,970453.0,1937733.0,127.1659955,37.43829503
90,2015,2015-01-08 06:30,주,목,1,1,0,0,0,전남,곡성군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,대형,화물차,소형,968028.0,1696079.0,127.1485151,35.25964573
91,2015,2015-01-08 08:20,주,목,1,1,0,0,0,전남,담양군,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,건설기계,건설기계,958909.0,1698879.0,127.0481275,35.28455993
92,2015,2015-01-08 09:46,주,목,1,2,0,0,1,경기,안양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,949065.0,1932890.0,126.9245647,37.393713
93,2015,2015-01-08 11:50,주,목,1,1,0,0,0,경북,영양군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,없음,없음,1136779.0,1844928.0,129.0290793,36.59237601
94,2015,2015-01-08 15:15,주,목,1,3,1,1,0,전남,보성군,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,원동기장치자전거,화물차,소형,985952.0,1648870.0,127.3463611,34.83435813
95,2015,2015-01-08 18:10,야,목,1,1,0,0,0,강원,평창군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1105945.0,1964415.0,128.7013645,37.6731482
96,2015,2015-01-09 06:00,주,금,1,1,0,0,0,충북,청주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,996672.0,1849493.0,127.4627699,36.6433334
97,2015,2015-01-09 07:49,주,금,1,1,0,0,0,부산,연제구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승합차,대형,1143616.0,1689163.0,129.0773851,35.18752003
98,2015,2015-01-09 09:01,주,금,1,1,0,0,0,전남,무안군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,승합차,대형,905854.0,1665383.0,126.4685647,34.97898145
99,2015,2015-01-09 09:55,주,금,1,1,0,0,0,인천,계양구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승합차,대형,원동기장치자전거,원동기장치자전거,928847.0,1947595.0,126.6947507,37.52491474
100,2015,2015-01-09 17:50,주,금,1,1,0,0,0,경남,함양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,1017299.0,1720744.0,127.6907005,35.48240708
101,2015,2015-01-09 18:27,야,금,1,1,0,0,0,경기,고양시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,이륜차,소형,947227.0,1968549.0,126.901235,37.71500798
102,2015,2015-01-09 20:40,야,금,1,1,0,0,0,서울,중구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,955475.0,1951772.0,126.9958365,37.56423328
103,2015,2015-01-09 22:03,야,금,1,1,0,0,0,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,931081.0,1949665.0,126.7198367,37.54374085
104,2015,2015-01-10 01:40,야,토,1,1,0,0,0,경기,가평군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,없음,없음,991338.0,1968779.0,127.4017154,37.71856053
105,2015,2015-01-10 01:10,야,토,1,1,0,0,0,충북,청주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,997095.0,1851601.0,127.4674939,36.66233831
106,2015,2015-01-10 01:17,야,토,1,1,0,0,0,대구,수성구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,1102768.0,1758839.0,128.6376557,35.82065582
107,2015,2015-01-10 02:45,야,토,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,보행자,보행자,964672.0,1946089.0,127.1002465,37.51340898
108,2015,2015-01-10 03:52,야,토,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,운전자법규위반,과속,교차로,교차로부근,승용차,중형,보행자,보행자,945002.0,1945228.0,126.8777451,37.50468574
109,2015,2015-01-10 04:11,야,토,1,2,1,0,0,광주,남구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,942826.0,1680029.0,126.8725813,35.11380705
110,2015,2015-01-10 11:55,주,토,1,1,0,0,0,경북,의성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,중형,보행자,보행자,1102454.0,1814485.0,128.6414054,36.32228469
111,2015,2015-01-10 13:10,주,토,1,3,1,1,0,충남,천안시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,경형,985192.0,1863445.0,127.3340739,36.76899907
112,2015,2015-01-10 19:00,야,토,1,1,0,0,0,광주,서구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,945503.0,1684552.0,126.9016585,35.15473829
